Taxon,Date,Season,Plot Type,Sample,Sample Type,Wet Mass,Avg. Soil moisture,Calc. dry mass,Avg. Temp,Count
Poduromorpha,14.12.19,Wet,C,8L,Litter,577.7,52.73333333,NA,NA,18
Symphypleona,14.12.19,Wet,C,8L,Litter,577.7,52.73333333,NA,NA,125
Acari other,14.12.19,Wet,C,8L,Litter,577.7,52.73333333,NA,NA,54
Oribatida,14.12.19,Wet,C,8L,Litter,577.7,52.73333333,NA,NA,90
Araneae,14.12.19,Wet,C,8L,Litter,577.7,52.73333333,NA,NA,1
Opiliones,14.12.19,Wet,C,8L,Litter,577.7,52.73333333,NA,NA,2
Pseudoscorpiones,14.12.19,Wet,C,8L,Litter,577.7,52.73333333,NA,NA,2
Ixodida,14.12.19,Wet,C,8L,Litter,577.7,52.73333333,NA,NA,0
Ricinulei,14.12.19,Wet,C,8L,Litter,577.7,52.73333333,NA,NA,0
Schizomida,14.12.19,Wet,C,8L,Litter,577.7,52.73333333,NA,NA,0
Palpigradi,14.12.19,Wet,C,8L,Litter,577.7,52.73333333,NA,NA,0
Chilopoda,14.12.19,Wet,C,8L,Litter,577.7,52.73333333,NA,NA,0
Diplopoda,14.12.19,Wet,C,8L,Litter,577.7,52.73333333,NA,NA,4
Symphyla,14.12.19,Wet,C,8L,Litter,577.7,52.73333333,NA,NA,0
Tetramerocerata,14.12.19,Wet,C,8L,Litter,577.7,52.73333333,NA,NA,0
Isopoda,14.12.19,Wet,C,8L,Litter,577.7,52.73333333,NA,NA,0
Amphipoda,14.12.19,Wet,C,8L,Litter,577.7,52.73333333,NA,NA,0
Annelida,14.12.19,Wet,C,8L,Litter,577.7,52.73333333,NA,NA,0
Gastropoda,14.12.19,Wet,C,8L,Litter,577.7,52.73333333,NA,NA,0
Euonychophora,14.12.19,Wet,C,8L,Litter,577.7,52.73333333,NA,NA,0
Unknown,14.12.19,Wet,W,9L,Litter,468.5,48.03333333,NA,NA,6
Hymenoptera,14.12.19,Wet,W,9L,Litter,468.5,48.03333333,NA,NA,150
Coleoptera,14.12.19,Wet,W,9L,Litter,468.5,48.03333333,NA,NA,10
Hemiptera,14.12.19,Wet,W,9L,Litter,468.5,48.03333333,NA,NA,3
Diptera,14.12.19,Wet,W,9L,Litter,468.5,48.03333333,NA,NA,8
Blattodea,14.12.19,Wet,W,9L,Litter,468.5,48.03333333,NA,NA,1
Thysanoptera,14.12.19,Wet,W,9L,Litter,468.5,48.03333333,NA,NA,1
Psocoptera,14.12.19,Wet,W,9L,Litter,468.5,48.03333333,NA,NA,3
Lepidoptera,14.12.19,Wet,W,9L,Litter,468.5,48.03333333,NA,NA,7
Orthoptera,14.12.19,Wet,W,9L,Litter,468.5,48.03333333,NA,NA,0
Trichoptera,14.12.19,Wet,W,9L,Litter,468.5,48.03333333,NA,NA,0
Neuroptera,14.12.19,Wet,W,9L,Litter,468.5,48.03333333,NA,NA,0
Zoraptera,14.12.19,Wet,W,9L,Litter,468.5,48.03333333,NA,NA,0
Phthiraptora,14.12.19,Wet,W,9L,Litter,468.5,48.03333333,NA,NA,0
Mecoptera,14.12.19,Wet,W,9L,Litter,468.5,48.03333333,NA,NA,0
Dermaptera,14.12.19,Wet,W,9L,Litter,468.5,48.03333333,NA,NA,0
Zygentoma,14.12.19,Wet,W,9L,Litter,468.5,48.03333333,NA,NA,0
Embioptera,14.12.19,Wet,W,9L,Litter,468.5,48.03333333,NA,NA,0
Archaeognatha,14.12.19,Wet,W,9L,Litter,468.5,48.03333333,NA,NA,0
Protura,14.12.19,Wet,W,9L,Litter,468.5,48.03333333,NA,NA,0
Diplura,14.12.19,Wet,W,9L,Litter,468.5,48.03333333,NA,NA,0
Entomobryomorpha,14.12.19,Wet,W,9L,Litter,468.5,48.03333333,NA,NA,461
Poduromorpha,14.12.19,Wet,W,9L,Litter,468.5,48.03333333,NA,NA,16
Symphypleona,14.12.19,Wet,W,9L,Litter,468.5,48.03333333,NA,NA,151
Acari other,14.12.19,Wet,W,9L,Litter,468.5,48.03333333,NA,NA,1371
Oribatida,14.12.19,Wet,W,9L,Litter,468.5,48.03333333,NA,NA,1615
Araneae,14.12.19,Wet,W,9L,Litter,468.5,48.03333333,NA,NA,2
Opiliones,14.12.19,Wet,W,9L,Litter,468.5,48.03333333,NA,NA,3
Pseudoscorpiones,14.12.19,Wet,W,9L,Litter,468.5,48.03333333,NA,NA,2
Ixodida,14.12.19,Wet,W,9L,Litter,468.5,48.03333333,NA,NA,0
Ricinulei,14.12.19,Wet,W,9L,Litter,468.5,48.03333333,NA,NA,0
Schizomida,14.12.19,Wet,W,9L,Litter,468.5,48.03333333,NA,NA,0
Palpigradi,14.12.19,Wet,W,9L,Litter,468.5,48.03333333,NA,NA,0
Chilopoda,14.12.19,Wet,W,9L,Litter,468.5,48.03333333,NA,NA,0
Diplopoda,14.12.19,Wet,W,9L,Litter,468.5,48.03333333,NA,NA,2
Symphyla,14.12.19,Wet,W,9L,Litter,468.5,48.03333333,NA,NA,3
Tetramerocerata,14.12.19,Wet,W,9L,Litter,468.5,48.03333333,NA,NA,2
Isopoda,14.12.19,Wet,W,9L,Litter,468.5,48.03333333,NA,NA,2
Amphipoda,14.12.19,Wet,W,9L,Litter,468.5,48.03333333,NA,NA,0
Annelida,14.12.19,Wet,W,9L,Litter,468.5,48.03333333,NA,NA,0
Gastropoda,14.12.19,Wet,W,9L,Litter,468.5,48.03333333,NA,NA,1
Euonychophora,14.12.19,Wet,W,9L,Litter,468.5,48.03333333,NA,NA,0
Unknown,14.12.19,Wet,C,10L,Litter,545,50.53333333,NA,NA,3
Hymenoptera,14.12.19,Wet,C,10L,Litter,545,50.53333333,NA,NA,159
Coleoptera,14.12.19,Wet,C,10L,Litter,545,50.53333333,NA,NA,19
Hemiptera,14.12.19,Wet,C,10L,Litter,545,50.53333333,NA,NA,14
Diptera,14.12.19,Wet,C,10L,Litter,545,50.53333333,NA,NA,3
Blattodea,14.12.19,Wet,C,10L,Litter,545,50.53333333,NA,NA,48
Thysanoptera,14.12.19,Wet,C,10L,Litter,545,50.53333333,NA,NA,0
Psocoptera,14.12.19,Wet,C,10L,Litter,545,50.53333333,NA,NA,0
Lepidoptera,14.12.19,Wet,C,10L,Litter,545,50.53333333,NA,NA,1
Orthoptera,14.12.19,Wet,C,10L,Litter,545,50.53333333,NA,NA,0
Trichoptera,14.12.19,Wet,C,10L,Litter,545,50.53333333,NA,NA,0
Neuroptera,14.12.19,Wet,C,10L,Litter,545,50.53333333,NA,NA,0
Zoraptera,14.12.19,Wet,C,10L,Litter,545,50.53333333,NA,NA,0
Phthiraptora,14.12.19,Wet,C,10L,Litter,545,50.53333333,NA,NA,0
Mecoptera,14.12.19,Wet,C,10L,Litter,545,50.53333333,NA,NA,0
Dermaptera,14.12.19,Wet,C,10L,Litter,545,50.53333333,NA,NA,0
Zygentoma,14.12.19,Wet,C,10L,Litter,545,50.53333333,NA,NA,0
Embioptera,14.12.19,Wet,C,10L,Litter,545,50.53333333,NA,NA,0
Archaeognatha,14.12.19,Wet,C,10L,Litter,545,50.53333333,NA,NA,0
Protura,14.12.19,Wet,C,10L,Litter,545,50.53333333,NA,NA,0
Diplura,14.12.19,Wet,C,10L,Litter,545,50.53333333,NA,NA,2
Entomobryomorpha,14.12.19,Wet,C,10L,Litter,545,50.53333333,NA,NA,117
Poduromorpha,14.12.19,Wet,C,10L,Litter,545,50.53333333,NA,NA,4
Symphypleona,14.12.19,Wet,C,10L,Litter,545,50.53333333,NA,NA,259
Acari other,14.12.19,Wet,C,10L,Litter,545,50.53333333,NA,NA,135
Oribatida,14.12.19,Wet,C,10L,Litter,545,50.53333333,NA,NA,118
Araneae,14.12.19,Wet,C,10L,Litter,545,50.53333333,NA,NA,3
Opiliones,14.12.19,Wet,C,10L,Litter,545,50.53333333,NA,NA,1
Pseudoscorpiones,14.12.19,Wet,C,10L,Litter,545,50.53333333,NA,NA,1
Ixodida,14.12.19,Wet,C,10L,Litter,545,50.53333333,NA,NA,0
Ricinulei,14.12.19,Wet,C,10L,Litter,545,50.53333333,NA,NA,0
Schizomida,14.12.19,Wet,C,10L,Litter,545,50.53333333,NA,NA,0
Palpigradi,14.12.19,Wet,C,10L,Litter,545,50.53333333,NA,NA,0
Chilopoda,14.12.19,Wet,C,10L,Litter,545,50.53333333,NA,NA,0
Diplopoda,14.12.19,Wet,C,10L,Litter,545,50.53333333,NA,NA,3
Symphyla,14.12.19,Wet,C,10L,Litter,545,50.53333333,NA,NA,0
Tetramerocerata,14.12.19,Wet,C,10L,Litter,545,50.53333333,NA,NA,2
Isopoda,14.12.19,Wet,C,10L,Litter,545,50.53333333,NA,NA,5
Amphipoda,14.12.19,Wet,C,10L,Litter,545,50.53333333,NA,NA,0
Annelida,14.12.19,Wet,C,10L,Litter,545,50.53333333,NA,NA,0
Gastropoda,14.12.19,Wet,C,10L,Litter,545,50.53333333,NA,NA,0
Euonychophora,14.12.19,Wet,C,10L,Litter,545,50.53333333,NA,NA,0
Unknown,16.1.20,Dry,W,1S,Soil,1355,32.06666667,920.4966667,29.76666667,5
Hymenoptera,16.1.20,Dry,W,1S,Soil,1355,32.06666667,920.4966667,29.76666667,12
Coleoptera,16.1.20,Dry,W,1S,Soil,1355,32.06666667,920.4966667,29.76666667,18
Hemiptera,16.1.20,Dry,W,1S,Soil,1355,32.06666667,920.4966667,29.76666667,9
Diptera,16.1.20,Dry,W,1S,Soil,1355,32.06666667,920.4966667,29.76666667,1
Blattodea,16.1.20,Dry,W,1S,Soil,1355,32.06666667,920.4966667,29.76666667,0
Thysanoptera,16.1.20,Dry,W,1S,Soil,1355,32.06666667,920.4966667,29.76666667,0
Psocoptera,16.1.20,Dry,W,1S,Soil,1355,32.06666667,920.4966667,29.76666667,0
Lepidoptera,16.1.20,Dry,W,1S,Soil,1355,32.06666667,920.4966667,29.76666667,0
Orthoptera,16.1.20,Dry,W,1S,Soil,1355,32.06666667,920.4966667,29.76666667,0
Trichoptera,16.1.20,Dry,W,1S,Soil,1355,32.06666667,920.4966667,29.76666667,0
Neuroptera,16.1.20,Dry,W,1S,Soil,1355,32.06666667,920.4966667,29.76666667,0
Zoraptera,16.1.20,Dry,W,1S,Soil,1355,32.06666667,920.4966667,29.76666667,0
Phthiraptora,16.1.20,Dry,W,1S,Soil,1355,32.06666667,920.4966667,29.76666667,0
Mecoptera,16.1.20,Dry,W,1S,Soil,1355,32.06666667,920.4966667,29.76666667,0
Dermaptera,16.1.20,Dry,W,1S,Soil,1355,32.06666667,920.4966667,29.76666667,0
Zygentoma,16.1.20,Dry,W,1S,Soil,1355,32.06666667,920.4966667,29.76666667,0
Embioptera,16.1.20,Dry,W,1S,Soil,1355,32.06666667,920.4966667,29.76666667,0
Archaeognatha,16.1.20,Dry,W,1S,Soil,1355,32.06666667,920.4966667,29.76666667,0
Protura,16.1.20,Dry,W,1S,Soil,1355,32.06666667,920.4966667,29.76666667,0
Diplura,16.1.20,Dry,W,1S,Soil,1355,32.06666667,920.4966667,29.76666667,0
Entomobryomorpha,16.1.20,Dry,W,1S,Soil,1355,32.06666667,920.4966667,29.76666667,22
Poduromorpha,16.1.20,Dry,W,1S,Soil,1355,32.06666667,920.4966667,29.76666667,0
Symphypleona,16.1.20,Dry,W,1S,Soil,1355,32.06666667,920.4966667,29.76666667,3
Acari other,16.1.20,Dry,W,1S,Soil,1355,32.06666667,920.4966667,29.76666667,47
Oribatida,16.1.20,Dry,W,1S,Soil,1355,32.06666667,920.4966667,29.76666667,95
Araneae,16.1.20,Dry,W,1S,Soil,1355,32.06666667,920.4966667,29.76666667,0
Opiliones,16.1.20,Dry,W,1S,Soil,1355,32.06666667,920.4966667,29.76666667,0
Pseudoscorpiones,16.1.20,Dry,W,1S,Soil,1355,32.06666667,920.4966667,29.76666667,0
Ixodida,16.1.20,Dry,W,1S,Soil,1355,32.06666667,920.4966667,29.76666667,0
Ricinulei,16.1.20,Dry,W,1S,Soil,1355,32.06666667,920.4966667,29.76666667,0
Schizomida,16.1.20,Dry,W,1S,Soil,1355,32.06666667,920.4966667,29.76666667,0
Palpigradi,16.1.20,Dry,W,1S,Soil,1355,32.06666667,920.4966667,29.76666667,0
Chilopoda,16.1.20,Dry,W,1S,Soil,1355,32.06666667,920.4966667,29.76666667,0
Diplopoda,16.1.20,Dry,W,1S,Soil,1355,32.06666667,920.4966667,29.76666667,3
Symphyla,16.1.20,Dry,W,1S,Soil,1355,32.06666667,920.4966667,29.76666667,6
Tetramerocerata,16.1.20,Dry,W,1S,Soil,1355,32.06666667,920.4966667,29.76666667,2
Isopoda,16.1.20,Dry,W,1S,Soil,1355,32.06666667,920.4966667,29.76666667,0
Amphipoda,16.1.20,Dry,W,1S,Soil,1355,32.06666667,920.4966667,29.76666667,0
Annelida,16.1.20,Dry,W,1S,Soil,1355,32.06666667,920.4966667,29.76666667,0
Gastropoda,16.1.20,Dry,W,1S,Soil,1355,32.06666667,920.4966667,29.76666667,0
Euonychophora,16.1.20,Dry,W,1S,Soil,1355,32.06666667,920.4966667,29.76666667,0
Unknown,16.1.20,Dry,C,2S,Soil,1361.2,36.76666667,860.7321333,26.23333333,3
Hymenoptera,16.1.20,Dry,C,2S,Soil,1361.2,36.76666667,860.7321333,26.23333333,17
Coleoptera,16.1.20,Dry,C,2S,Soil,1361.2,36.76666667,860.7321333,26.23333333,7
Hemiptera,16.1.20,Dry,C,2S,Soil,1361.2,36.76666667,860.7321333,26.23333333,8
Diptera,16.1.20,Dry,C,2S,Soil,1361.2,36.76666667,860.7321333,26.23333333,5
Blattodea,16.1.20,Dry,C,2S,Soil,1361.2,36.76666667,860.7321333,26.23333333,0
Thysanoptera,16.1.20,Dry,C,2S,Soil,1361.2,36.76666667,860.7321333,26.23333333,0
Psocoptera,16.1.20,Dry,C,2S,Soil,1361.2,36.76666667,860.7321333,26.23333333,0
Lepidoptera,16.1.20,Dry,C,2S,Soil,1361.2,36.76666667,860.7321333,26.23333333,0
Orthoptera,16.1.20,Dry,C,2S,Soil,1361.2,36.76666667,860.7321333,26.23333333,0
Trichoptera,16.1.20,Dry,C,2S,Soil,1361.2,36.76666667,860.7321333,26.23333333,0
Neuroptera,16.1.20,Dry,C,2S,Soil,1361.2,36.76666667,860.7321333,26.23333333,0
Zoraptera,16.1.20,Dry,C,2S,Soil,1361.2,36.76666667,860.7321333,26.23333333,0
Phthiraptora,16.1.20,Dry,C,2S,Soil,1361.2,36.76666667,860.7321333,26.23333333,0
Mecoptera,16.1.20,Dry,C,2S,Soil,1361.2,36.76666667,860.7321333,26.23333333,0
Dermaptera,16.1.20,Dry,C,2S,Soil,1361.2,36.76666667,860.7321333,26.23333333,0
Zygentoma,16.1.20,Dry,C,2S,Soil,1361.2,36.76666667,860.7321333,26.23333333,0
Embioptera,16.1.20,Dry,C,2S,Soil,1361.2,36.76666667,860.7321333,26.23333333,0
Archaeognatha,16.1.20,Dry,C,2S,Soil,1361.2,36.76666667,860.7321333,26.23333333,0
Protura,16.1.20,Dry,C,2S,Soil,1361.2,36.76666667,860.7321333,26.23333333,15
Diplura,16.1.20,Dry,C,2S,Soil,1361.2,36.76666667,860.7321333,26.23333333,4
Entomobryomorpha,16.1.20,Dry,C,2S,Soil,1361.2,36.76666667,860.7321333,26.23333333,12
Poduromorpha,16.1.20,Dry,C,2S,Soil,1361.2,36.76666667,860.7321333,26.23333333,1
Symphypleona,16.1.20,Dry,C,2S,Soil,1361.2,36.76666667,860.7321333,26.23333333,10
Acari other,16.1.20,Dry,C,2S,Soil,1361.2,36.76666667,860.7321333,26.23333333,32
Oribatida,16.1.20,Dry,C,2S,Soil,1361.2,36.76666667,860.7321333,26.23333333,33
Araneae,16.1.20,Dry,C,2S,Soil,1361.2,36.76666667,860.7321333,26.23333333,0
Opiliones,16.1.20,Dry,C,2S,Soil,1361.2,36.76666667,860.7321333,26.23333333,0
Pseudoscorpiones,16.1.20,Dry,C,2S,Soil,1361.2,36.76666667,860.7321333,26.23333333,0
Ixodida,16.1.20,Dry,C,2S,Soil,1361.2,36.76666667,860.7321333,26.23333333,0
Ricinulei,16.1.20,Dry,C,2S,Soil,1361.2,36.76666667,860.7321333,26.23333333,0
Schizomida,16.1.20,Dry,C,2S,Soil,1361.2,36.76666667,860.7321333,26.23333333,0
Palpigradi,16.1.20,Dry,C,2S,Soil,1361.2,36.76666667,860.7321333,26.23333333,0
Chilopoda,16.1.20,Dry,C,2S,Soil,1361.2,36.76666667,860.7321333,26.23333333,1
Diplopoda,16.1.20,Dry,C,2S,Soil,1361.2,36.76666667,860.7321333,26.23333333,0
Symphyla,16.1.20,Dry,C,2S,Soil,1361.2,36.76666667,860.7321333,26.23333333,1
Tetramerocerata,16.1.20,Dry,C,2S,Soil,1361.2,36.76666667,860.7321333,26.23333333,2
Isopoda,16.1.20,Dry,C,2S,Soil,1361.2,36.76666667,860.7321333,26.23333333,0
Amphipoda,16.1.20,Dry,C,2S,Soil,1361.2,36.76666667,860.7321333,26.23333333,0
Annelida,16.1.20,Dry,C,2S,Soil,1361.2,36.76666667,860.7321333,26.23333333,0
Gastropoda,16.1.20,Dry,C,2S,Soil,1361.2,36.76666667,860.7321333,26.23333333,0
Euonychophora,16.1.20,Dry,C,2S,Soil,1361.2,36.76666667,860.7321333,26.23333333,0
Unknown,16.1.20,Dry,W,3S,Soil,1503.1,37.5,939.4375,30.7,4
Hymenoptera,16.1.20,Dry,W,3S,Soil,1503.1,37.5,939.4375,30.7,72
Coleoptera,16.1.20,Dry,W,3S,Soil,1503.1,37.5,939.4375,30.7,9
Hemiptera,16.1.20,Dry,W,3S,Soil,1503.1,37.5,939.4375,30.7,1
Diptera,16.1.20,Dry,W,3S,Soil,1503.1,37.5,939.4375,30.7,1
Blattodea,16.1.20,Dry,W,3S,Soil,1503.1,37.5,939.4375,30.7,0
Thysanoptera,16.1.20,Dry,W,3S,Soil,1503.1,37.5,939.4375,30.7,0
Psocoptera,16.1.20,Dry,W,3S,Soil,1503.1,37.5,939.4375,30.7,0
Lepidoptera,16.1.20,Dry,W,3S,Soil,1503.1,37.5,939.4375,30.7,0
Orthoptera,16.1.20,Dry,W,3S,Soil,1503.1,37.5,939.4375,30.7,0
Trichoptera,16.1.20,Dry,W,3S,Soil,1503.1,37.5,939.4375,30.7,0
Neuroptera,16.1.20,Dry,W,3S,Soil,1503.1,37.5,939.4375,30.7,0
Zoraptera,16.1.20,Dry,W,3S,Soil,1503.1,37.5,939.4375,30.7,0
Phthiraptora,16.1.20,Dry,W,3S,Soil,1503.1,37.5,939.4375,30.7,0
Mecoptera,16.1.20,Dry,W,3S,Soil,1503.1,37.5,939.4375,30.7,0
Dermaptera,16.1.20,Dry,W,3S,Soil,1503.1,37.5,939.4375,30.7,0
Zygentoma,16.1.20,Dry,W,3S,Soil,1503.1,37.5,939.4375,30.7,0
Embioptera,16.1.20,Dry,W,3S,Soil,1503.1,37.5,939.4375,30.7,0
Archaeognatha,16.1.20,Dry,W,3S,Soil,1503.1,37.5,939.4375,30.7,0
Protura,16.1.20,Dry,W,3S,Soil,1503.1,37.5,939.4375,30.7,0
Diplura,16.1.20,Dry,W,3S,Soil,1503.1,37.5,939.4375,30.7,0
Entomobryomorpha,16.1.20,Dry,W,3S,Soil,1503.1,37.5,939.4375,30.7,23
Poduromorpha,16.1.20,Dry,W,3S,Soil,1503.1,37.5,939.4375,30.7,0
Symphypleona,16.1.20,Dry,W,3S,Soil,1503.1,37.5,939.4375,30.7,12
Acari other,16.1.20,Dry,W,3S,Soil,1503.1,37.5,939.4375,30.7,60
Oribatida,16.1.20,Dry,W,3S,Soil,1503.1,37.5,939.4375,30.7,101
Araneae,16.1.20,Dry,W,3S,Soil,1503.1,37.5,939.4375,30.7,1
Opiliones,16.1.20,Dry,W,3S,Soil,1503.1,37.5,939.4375,30.7,2
Pseudoscorpiones,16.1.20,Dry,W,3S,Soil,1503.1,37.5,939.4375,30.7,0
Ixodida,16.1.20,Dry,W,3S,Soil,1503.1,37.5,939.4375,30.7,0
Ricinulei,16.1.20,Dry,W,3S,Soil,1503.1,37.5,939.4375,30.7,0
Schizomida,16.1.20,Dry,W,3S,Soil,1503.1,37.5,939.4375,30.7,0
Palpigradi,16.1.20,Dry,W,3S,Soil,1503.1,37.5,939.4375,30.7,0
Chilopoda,16.1.20,Dry,W,3S,Soil,1503.1,37.5,939.4375,30.7,0
Diplopoda,16.1.20,Dry,W,3S,Soil,1503.1,37.5,939.4375,30.7,0
Symphyla,16.1.20,Dry,W,3S,Soil,1503.1,37.5,939.4375,30.7,3
Tetramerocerata,16.1.20,Dry,W,3S,Soil,1503.1,37.5,939.4375,30.7,0
Isopoda,16.1.20,Dry,W,3S,Soil,1503.1,37.5,939.4375,30.7,0
Amphipoda,16.1.20,Dry,W,3S,Soil,1503.1,37.5,939.4375,30.7,0
Annelida,16.1.20,Dry,W,3S,Soil,1503.1,37.5,939.4375,30.7,0
Gastropoda,16.1.20,Dry,W,3S,Soil,1503.1,37.5,939.4375,30.7,0
Euonychophora,16.1.20,Dry,W,3S,Soil,1503.1,37.5,939.4375,30.7,0
Unknown,16.1.20,Dry,C,4S,Soil,1450.8,36.86666667,915.9384,26.3,1
Hymenoptera,16.1.20,Dry,C,4S,Soil,1450.8,36.86666667,915.9384,26.3,97
Coleoptera,16.1.20,Dry,C,4S,Soil,1450.8,36.86666667,915.9384,26.3,5
Hemiptera,16.1.20,Dry,C,4S,Soil,1450.8,36.86666667,915.9384,26.3,8
Diptera,16.1.20,Dry,C,4S,Soil,1450.8,36.86666667,915.9384,26.3,0
Blattodea,16.1.20,Dry,C,4S,Soil,1450.8,36.86666667,915.9384,26.3,0
Thysanoptera,16.1.20,Dry,C,4S,Soil,1450.8,36.86666667,915.9384,26.3,0
Psocoptera,16.1.20,Dry,C,4S,Soil,1450.8,36.86666667,915.9384,26.3,0
Lepidoptera,16.1.20,Dry,C,4S,Soil,1450.8,36.86666667,915.9384,26.3,0
Orthoptera,16.1.20,Dry,C,4S,Soil,1450.8,36.86666667,915.9384,26.3,0
Trichoptera,16.1.20,Dry,C,4S,Soil,1450.8,36.86666667,915.9384,26.3,0
Zoraptera,16.1.20,Dry,C,4S,Soil,1450.8,36.86666667,915.9384,26.3,0
Phthiraptora,16.1.20,Dry,C,4S,Soil,1450.8,36.86666667,915.9384,26.3,0
Mecoptera,16.1.20,Dry,C,4S,Soil,1450.8,36.86666667,915.9384,26.3,0
Dermaptera,16.1.20,Dry,C,4S,Soil,1450.8,36.86666667,915.9384,26.3,0
Neuroptera,16.1.20,Dry,C,4S,Soil,1450.8,36.86666667,915.9384,26.3,0
Zygentoma,16.1.20,Dry,C,4S,Soil,1450.8,36.86666667,915.9384,26.3,0
Embioptera,16.1.20,Dry,C,4S,Soil,1450.8,36.86666667,915.9384,26.3,0
Archaeognatha,16.1.20,Dry,C,4S,Soil,1450.8,36.86666667,915.9384,26.3,0
Protura,16.1.20,Dry,C,4S,Soil,1450.8,36.86666667,915.9384,26.3,2
Diplura,16.1.20,Dry,C,4S,Soil,1450.8,36.86666667,915.9384,26.3,0
Entomobryomorpha,16.1.20,Dry,C,4S,Soil,1450.8,36.86666667,915.9384,26.3,6
Poduromorpha,16.1.20,Dry,C,4S,Soil,1450.8,36.86666667,915.9384,26.3,1
Symphypleona,16.1.20,Dry,C,4S,Soil,1450.8,36.86666667,915.9384,26.3,2
Acari other,16.1.20,Dry,C,4S,Soil,1450.8,36.86666667,915.9384,26.3,20
Oribatida,16.1.20,Dry,C,4S,Soil,1450.8,36.86666667,915.9384,26.3,40
Araneae,16.1.20,Dry,C,4S,Soil,1450.8,36.86666667,915.9384,26.3,0
Opiliones,16.1.20,Dry,C,4S,Soil,1450.8,36.86666667,915.9384,26.3,0
Pseudoscorpiones,16.1.20,Dry,C,4S,Soil,1450.8,36.86666667,915.9384,26.3,1
Ixodida,16.1.20,Dry,C,4S,Soil,1450.8,36.86666667,915.9384,26.3,0
Ricinulei,16.1.20,Dry,C,4S,Soil,1450.8,36.86666667,915.9384,26.3,0
Schizomida,16.1.20,Dry,C,4S,Soil,1450.8,36.86666667,915.9384,26.3,0
Palpigradi,16.1.20,Dry,C,4S,Soil,1450.8,36.86666667,915.9384,26.3,0
Chilopoda,16.1.20,Dry,C,4S,Soil,1450.8,36.86666667,915.9384,26.3,1
Diplopoda,16.1.20,Dry,C,4S,Soil,1450.8,36.86666667,915.9384,26.3,0
Symphyla,16.1.20,Dry,C,4S,Soil,1450.8,36.86666667,915.9384,26.3,1
Tetramerocerata,16.1.20,Dry,C,4S,Soil,1450.8,36.86666667,915.9384,26.3,0
Isopoda,16.1.20,Dry,C,4S,Soil,1450.8,36.86666667,915.9384,26.3,0
Amphipoda,16.1.20,Dry,C,4S,Soil,1450.8,36.86666667,915.9384,26.3,0
Annelida,16.1.20,Dry,C,4S,Soil,1450.8,36.86666667,915.9384,26.3,0
Gastropoda,16.1.20,Dry,C,4S,Soil,1450.8,36.86666667,915.9384,26.3,0
Euonychophora,16.1.20,Dry,C,4S,Soil,1450.8,36.86666667,915.9384,26.3,0
Unknown,16.1.20,Dry,W,5S,Soil,1609.1,35.93333333,1030.896733,30.33333333,5
Hymenoptera,16.1.20,Dry,W,5S,Soil,1609.1,35.93333333,1030.896733,30.33333333,8
Coleoptera,16.1.20,Dry,W,5S,Soil,1609.1,35.93333333,1030.896733,30.33333333,5
Hemiptera,16.1.20,Dry,W,5S,Soil,1609.1,35.93333333,1030.896733,30.33333333,2
Diptera,16.1.20,Dry,W,5S,Soil,1609.1,35.93333333,1030.896733,30.33333333,4
Blattodea,16.1.20,Dry,W,5S,Soil,1609.1,35.93333333,1030.896733,30.33333333,0
Thysanoptera,16.1.20,Dry,W,5S,Soil,1609.1,35.93333333,1030.896733,30.33333333,0
Psocoptera,16.1.20,Dry,W,5S,Soil,1609.1,35.93333333,1030.896733,30.33333333,0
Lepidoptera,16.1.20,Dry,W,5S,Soil,1609.1,35.93333333,1030.896733,30.33333333,0
Orthoptera,16.1.20,Dry,W,5S,Soil,1609.1,35.93333333,1030.896733,30.33333333,0
Trichoptera,16.1.20,Dry,W,5S,Soil,1609.1,35.93333333,1030.896733,30.33333333,0
Neuroptera,16.1.20,Dry,W,5S,Soil,1609.1,35.93333333,1030.896733,30.33333333,0
Zoraptera,16.1.20,Dry,W,5S,Soil,1609.1,35.93333333,1030.896733,30.33333333,0
Phthiraptora,16.1.20,Dry,W,5S,Soil,1609.1,35.93333333,1030.896733,30.33333333,0
Mecoptera,16.1.20,Dry,W,5S,Soil,1609.1,35.93333333,1030.896733,30.33333333,0
Dermaptera,16.1.20,Dry,W,5S,Soil,1609.1,35.93333333,1030.896733,30.33333333,0
Zygentoma,16.1.20,Dry,W,5S,Soil,1609.1,35.93333333,1030.896733,30.33333333,0
Embioptera,16.1.20,Dry,W,5S,Soil,1609.1,35.93333333,1030.896733,30.33333333,0
Archaeognatha,16.1.20,Dry,W,5S,Soil,1609.1,35.93333333,1030.896733,30.33333333,0
Protura,16.1.20,Dry,W,5S,Soil,1609.1,35.93333333,1030.896733,30.33333333,0
Diplura,16.1.20,Dry,W,5S,Soil,1609.1,35.93333333,1030.896733,30.33333333,0
Entomobryomorpha,16.1.20,Dry,W,5S,Soil,1609.1,35.93333333,1030.896733,30.33333333,32
Poduromorpha,16.1.20,Dry,W,5S,Soil,1609.1,35.93333333,1030.896733,30.33333333,0
Symphypleona,16.1.20,Dry,W,5S,Soil,1609.1,35.93333333,1030.896733,30.33333333,24
Acari other,16.1.20,Dry,W,5S,Soil,1609.1,35.93333333,1030.896733,30.33333333,43
Oribatida,16.1.20,Dry,W,5S,Soil,1609.1,35.93333333,1030.896733,30.33333333,78
